🕘️更新时间,#genre#
2026-05-05 15:22:22,https://cdn13.178.indevs.in/163189/bea1d91d91364062

📺央视频道,#genre#
CCTV-1,https://cdn13.178.indevs.in/163189/bea1d91d91364062
CCTV-1,https://t.freetv.fun/live/cctv1-1.php
CCTV-1,https://t.freetv.fun/live/cctv1-2.php
CCTV-1,https://t.freetv.fun/live/cctv1.m3u8
CCTV-1,https://t.freetv.fun/live/cctv1-5.php
CCTV-1,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226737/1.m3u8
CCTV-1,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226635/1.m3u8
CCTV-1,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226638/1.m3u8
CCTV-1,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226736/1.m3u8
CCTV-1,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226737/1.m3u8
CCTV-2,https://t.freetv.fun/live/cctv2.m3u8
CCTV-2,https://t.freetv.fun/live/cctv2-1.php
CCTV-2,https://t.freetv.fun/live/cctv2-2.php
CCTV-2,https://t.freetv.fun/live/cctv2-4.m3u8
CCTV-2,https://t.freetv.fun/live/cctv2-7.m3u8
CCTV-2,https://t.freetv.fun/live/cctv2-13.m3u8
CCTV-2,https://t.freetv.fun/live/cctv2-3.php
CCTV-2,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226739/1.m3u8
CCTV-2,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226739/1.m3u8
CCTV-2,http://gxyd.484947.xyz/PLTV/77777777/224/3221225948/index.m3u8?servicetype=1
CCTV-4,https://t.freetv.fun/live/cctv4-1.m3u8
CCTV-4,https://t.freetv.fun/live/cctv4-3.m3u8
CCTV-4,https://t.freetv.fun/live/cctv4-4.m3u8
CCTV-4,https://t.freetv.fun/live/cctv4-7.php
CCTV-4,https://t.freetv.fun/live/cctv4.m3u8
CCTV-4,https://t.freetv.fun/live/cctv4-2.php
CCTV-4,https://t.freetv.fun/live/cctv4-6.php
CCTV-4,https://t.freetv.fun/live/cctv4-8.m3u8
CCTV-4,https://t.freetv.fun/live/cctv-4.m3u8
CCTV-4,https://t.freetv.fun/live/cctv-4hd.m3u8
CCTV-6,http://pull-hls-f11.douyincdn.com/media/stream-695587329821377196.m3u8?arch_hrchy=w1&exp_hrchy=w1&expire=1776055177&major_anchor_level=common&sign=ac74dc524cbdead720cf92a07a9500ba&t_id=037-2026040612393649C2EF8C86D956C27616-IjtU2k
CCTV-6,https://t.freetv.fun/live/cctv6-1.m3u8
CCTV-6,https://t.freetv.fun/live/cctv6-4.php
CCTV-6,https://t.freetv.fun/live/cctv6-5.m3u8
CCTV-6,https://t.freetv.fun/live/cctv6-6.php
CCTV-6,https://t.freetv.fun/live/cctv6-7.m3u8
CCTV-6,https://t.freetv.fun/live/cctv6-2.php
CCTV-6,https://t.freetv.fun/live/cctv6-3.php
CCTV-6,https://t.freetv.fun/live/cctv-6.m3u8
CCTV-6,https://t.freetv.fun/live/cctv-6gao-qing.m3u8
CCTV-9,https://t.freetv.fun/live/cctv9.m3u8
CCTV-9,https://t.freetv.fun/live/cctv9-1.php
CCTV-9,https://t.freetv.fun/live/cctv9-3.m3u8
CCTV-9,https://t.freetv.fun/live/cctv9-4.m3u8
CCTV-9,https://t.freetv.fun/live/cctv9-5.php
CCTV-9,https://t.freetv.fun/live/cctv9-6.php
CCTV-9,https://t.freetv.fun/live/cctv9-2.m3u8
CCTV-9,https://t.freetv.fun/live/cctv9-7.m3u8
CCTV-9,https://t.freetv.fun/live/cctv-9.m3u8
CCTV-9,https://t.freetv.fun/live/cctv-9hd.m3u8
CCTV-10,https://t.freetv.fun/live/cctv10.php
CCTV-10,https://t.freetv.fun/live/cctv10-1.m3u8
CCTV-10,https://t.freetv.fun/live/cctv10-2.php
CCTV-10,https://t.freetv.fun/live/cctv10-5.php
CCTV-10,https://t.freetv.fun/live/cctv10-6.m3u8
CCTV-10,https://t.freetv.fun/live/cctv10-3.php
CCTV-10,https://t.freetv.fun/live/cctv10-4.m3u8
CCTV-10,https://t.freetv.fun/live/cctv10-7.m3u8
CCTV-10,https://t.freetv.fun/live/cctv-10.m3u8
CCTV-10,https://t.freetv.fun/live/cctv-10gao-qing.m3u8
CCTV-13,http://pull-hls-f11.douyincdn.com/media/stream-695553383939179180.m3u8?arch_hrchy=w1&exp_hrchy=w1&expire=1775651921&major_anchor_level=common&sign=0f3e5eb58649c980acb45c230fbd212e&t_id=037-20260401203840F95EAF06830CA99FC12D-5ue7Hg
CCTV-13,https://cdn3.163189.xyz/163189/cctv13
