🕘️更新时间,#genre#
2026-09-05 21:33:09,http://61.145.188.90:60033/udp/239.77.1.144:5146

📺央视频道,#genre#
CCTV-1,http://61.145.188.90:60033/udp/239.77.1.144:5146
CCTV-1,http://61.145.188.90:50055/udp/239.77.1.144:5146
CCTV-2,http://183.236.43.98:4013/udp/239.77.1.158:5146
CCTV-2,http://61.145.188.90:60033/udp/239.77.1.158:5146
CCTV-4,http://183.236.43.98:4013/udp/239.77.1.163:5146
CCTV-4,http://61.145.188.90:60033/udp/239.77.1.163:5146
CCTV-4,http://14.145.187.131:4022/udp/239.77.1.163:5146
CCTV-6,http://61.145.188.90:60033/udp/239.77.0.171:5146
CCTV-8,http://61.145.188.90:60033/udp/239.77.0.172:5146
CCTV-8,http://14.145.187.131:4022/udp/239.77.0.172:5146
CCTV-9,http://61.145.188.90:60033/udp/239.77.0.135:5146
CCTV-9,http://119.131.25.143:9003/udp/239.77.0.135:5146
CCTV-10,http://183.236.43.98:4013/udp/239.77.0.134:5146
CCTV-10,http://61.145.188.90:60033/udp/239.77.0.134:5146
CCTV-13,http://14.145.187.131:4022/udp/239.253.43.196:5146

🌊港澳台,#genre#
翡翠台,http://183.62.8.58:50085/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0
无线新闻台,http://125.94.244.29:2101/1234.php?id=46&s=3
无线新闻台,http://125.94.244.29:2101/1234.php?id=7&s=1
无线新闻台,http://125.94.244.29:2101/1234.php?id=5&s=2
明珠台,http://183.62.8.58:50085/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰卫视,http://221.7.175.154:8445/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰卫视,http://221.7.175.154:8445/tsfile/live/1020_1.m3u8
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4_audio.m3u8
凤凰资讯,http://www.kaniptv.cn/ua3.php?ua=TW96aWxsYS81LjAgKFdpbmRvd3MgTlQgNi4xOyBXaW42NDsgeDY0KSBBcHBsZVdlYktpdC81MzcuMzYgKEtIVE1MLCBsaWtlIEdlY2tvKSBDaHJvbWUvMTA2LjAuMC4wIFNhZmFyaS81MzcuMzY=&mode=1&hls=aHR0cDovLzQ5LjIzMi4xNDMuMTc3OjgwL3B5eGcvZXhwb3J0LnBocD9pZD0yJmtleT0lMkElMkElMkElMkE=
凤凰资讯,http://61.221.215.25:8800/hls/47/index.m3u8
RTHK32,http://125.94.244.29:2101/1234.php?id=15&s=2

☘️广东频道,#genre#
广东卫视,http://119.131.25.143:9003/udp/239.77.1.152:5146
广东卫视,http://61.145.188.90:60033/udp/239.77.0.166:5146
广东卫视,http://183.236.43.98:4013/udp/239.77.0.166:5146
广东卫视,http://14.145.187.131:4022/udp/239.77.0.166:5146
广东卫视,http://183.236.43.98:4013/udp/239.77.1.19:5146
广东卫视,http://183.236.43.98:4013/udp/239.77.1.152:5146
广东卫视,http://121.10.7.16:4000/udp/239.77.0.166:5146
广东卫视,http://121.10.7.16:4000/udp/239.77.1.152:5146
广东卫视,http://61.145.188.90:60033/udp/239.77.1.19:5146
大湾区卫视,http://home.szjim.top:4000/udp/239.77.0.215:5146
广东珠江,http://jellyfin.cyruslee.top:8888/udp/239.77.0.1:5146
广东珠江,http://61.145.188.90:60033/udp/239.77.0.114:5146
广东珠江,http://home.szjim.top:4000/rtp/239.77.0.1:5146
广东珠江,http://14.145.187.131:4022/udp/239.77.0.114:5146
广东珠江,http://183.236.43.98:4013/udp/239.77.0.114:5146
广东珠江,http://61.145.188.90:50055/udp/239.77.0.1:5146
广东珠江,http://61.145.188.90:60033/udp/239.77.0.1:5146
广东珠江,http://183.236.43.98:4013/udp/239.77.0.1:5146
广东珠江,http://14.145.187.131:4022/udp/239.77.0.1:5146
广东新闻,http://107.150.60.122/live/gdxw.m3u8
广东新闻,http://192.151.150.154/live/gdxw.m3u8
广东新闻,http://38.75.136.137:98/gslb/dsdqpub/gdxw.m3u8?auth=testpub
广东新闻,http://38.75.136.137:98/gslb/dsdqpub/gdxwa.m3u8?auth=testpub
广东新闻,http://107.150.60.122/live/gdxwa.m3u8
广东民生,http://218.13.138.139:59901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
